,Id,Overall Qual,Gr Liv Area,Garage Area,Garage Cars,Total Bsmt SF,1st Flr SF,Year Built,Year Remod/Add,Full Bath,Garage Yr Blt,TotRms AbvGrd,Fireplaces,BsmtFin SF 1,Mas Vnr Area,Lot Frontage,Open Porch SF,Wood Deck SF,Lot Area,Bsmt Full Bath,Half Bath,2nd Flr SF,Kitchen AbvGr,Enclosed Porch,Bsmt Unf SF,Bedroom AbvGr,Screen Porch,3Ssn Porch,Mo Sold,Pool Area,BsmtFin SF 2,Kitchen Qual,Exter Cond,Exter Qual,SalePrice
0,2658,6,1928,440,1,1020,908,1910,1950,2,1910.0,9,0,0,0.0,69.0,60,0,9142,0,0,1020,2,112,1020,4,0,0,4,0,0,3,3,1,181469.70160897123
1,2718,5,1967,580,2,1967,1967,1977,1977,2,1977.0,10,0,0,0.0,69.54596100278552,0,170,9662,0,0,0,2,0,1967,6,0,0,8,0,0,1,1,1,181469.70160897123
2,2414,7,1496,426,2,654,664,2006,2006,2,2006.0,7,1,554,0.0,58.0,24,100,17104,1,1,832,1,0,100,3,0,0,9,0,0,2,1,2,181469.70160897123
3,1989,5,968,480,2,968,968,1923,2006,1,1935.0,5,0,0,0.0,60.0,0,0,8520,0,0,0,1,184,968,2,0,0,7,0,0,1,1,2,181469.70160897123
4,625,6,1394,514,2,1394,1394,1963,1963,1,1963.0,6,2,609,247.0,69.54596100278552,76,0,9500,1,1,0,1,0,785,3,185,0,7,0,0,1,1,1,181469.70160897123
5,333,4,1092,286,1,546,546,1972,1972,1,1972.0,5,0,294,0.0,21.0,0,0,1890,0,1,546,1,64,252,3,0,0,6,0,0,1,1,1,181469.70160897123
6,1327,4,1093,308,1,869,1093,1958,2006,1,1959.0,5,0,0,0.0,52.0,0,0,8516,0,0,0,1,0,869,2,0,0,5,0,0,1,1,1,181469.70160897123
7,858,5,1268,252,1,1268,1268,1977,1989,1,1978.0,5,0,196,0.0,69.54596100278552,0,173,9286,0,1,0,1,0,1072,3,0,0,10,0,0,2,1,1,181469.70160897123
8,95,7,1680,588,2,840,840,2004,2004,2,2004.0,3,0,0,0.0,39.0,111,0,3515,0,1,840,1,0,840,2,0,0,1,0,0,2,1,2,181469.70160897123
9,1568,6,1279,473,2,1196,1279,1977,1977,2,1980.0,6,2,641,0.0,75.0,83,238,10125,0,0,0,1,0,276,3,0,0,2,0,279,1,1,1,181469.70160897123
