,Id,Overall Qual,Gr Liv Area,Garage Area,Garage Cars,Total Bsmt SF,1st Flr SF,Year Built,Year Remod/Add,Full Bath,Garage Yr Blt,TotRms AbvGrd,Fireplaces,BsmtFin SF 1,Mas Vnr Area,Lot Frontage,Open Porch SF,Wood Deck SF,Lot Area,Bsmt Full Bath,Half Bath,2nd Flr SF,Kitchen AbvGr,Enclosed Porch,Bsmt Unf SF,Bedroom AbvGr,Screen Porch,3Ssn Porch,Mo Sold,Pool Area,BsmtFin SF 2,Kitchen Qual,Exter Cond,Exter Qual,SalePrice
0,109,6.0,1479.0,475.0,2.0,725.0,725.0,1976.0,2005.0,2.0,1976.0,6.0,0.0,533.0,289.0,69.05520046484602,44.0,0,13517,0.0,1,754,1,0,192.0,3,0,0,3,0,0.0,2,1,2,130500
1,544,7.0,2122.0,559.0,2.0,913.0,913.0,1996.0,1997.0,2.0,1997.0,8.0,1.0,637.0,132.0,43.0,74.0,0,11492,1.0,1,1209,1,0,276.0,4,0,0,4,0,0.0,2,1,2,220000
2,153,5.0,1057.0,246.0,1.0,1057.0,1057.0,1953.0,2007.0,1.0,1953.0,5.0,0.0,731.0,0.0,68.0,52.0,0,7922,1.0,0,0,1,0,326.0,3,0,0,1,0,0.0,2,2,1,109000
3,318,5.0,1444.0,400.0,2.0,384.0,744.0,2006.0,2007.0,2.0,2007.0,7.0,0.0,0.0,0.0,73.0,0.0,100,9802,0.0,1,700,1,0,384.0,3,0,0,4,0,0.0,1,1,1,174000
4,255,6.0,1445.0,484.0,2.0,676.0,831.0,1900.0,1993.0,2.0,1957.0,6.0,0.0,0.0,0.0,82.0,59.0,0,14235,0.0,0,614,1,0,676.0,3,0,0,3,0,0.0,1,1,1,138500
5,138,6.0,1888.0,578.0,2.0,1517.0,1888.0,1966.0,2002.0,2.0,1966.0,6.0,1.0,247.0,0.0,137.0,0.0,0,16492,0.0,1,0,1,0,557.0,2,0,0,6,0,713.0,2,1,2,190000
6,2827,6.0,1072.0,525.0,2.0,547.0,1072.0,2005.0,2006.0,2.0,2005.0,5.0,0.0,547.0,82.0,35.0,44.0,0,3675,1.0,0,0,1,0,0.0,2,0,0,6,0,0.0,1,1,1,140000
7,145,5.0,1188.0,531.0,2.0,1188.0,1188.0,1959.0,1959.0,1.0,1959.0,6.0,0.0,1000.0,180.0,69.05520046484602,0.0,0,12160,1.0,0,0,1,0,188.0,3,0,0,5,0,0.0,1,1,1,142000
8,1942,5.0,924.0,420.0,1.0,924.0,924.0,1952.0,1952.0,1.0,1952.0,6.0,0.0,292.0,0.0,69.05520046484602,324.0,0,15783,0.0,0,0,1,0,632.0,2,0,0,6,0,0.0,1,1,1,112500
9,1956,5.0,2080.0,504.0,2.0,1040.0,1040.0,1969.0,1969.0,1.0,1969.0,9.0,2.0,650.0,192.0,70.0,0.0,335,11606,0.0,2,1040,1,0,390.0,5,0,0,9,0,0.0,3,1,1,135000
10,1044,6.0,987.0,264.0,1.0,483.0,483.0,1971.0,1971.0,1.0,1971.0,4.0,0.0,387.0,232.0,21.0,0.0,0,1680,0.0,1,504,1,0,96.0,2,0,0,7,0,0.0,1,1,1,85400
11,2752,7.0,1208.0,632.0,2.0,1208.0,1208.0,2005.0,2005.0,2.0,2005.0,6.0,0.0,393.0,0.0,64.0,58.0,105,7488,0.0,0,0,1,0,815.0,2,0,0,2,0,0.0,2,1,2,183600
12,807,5.0,2016.0,576.0,2.0,0.0,1288.0,1880.0,2007.0,1.0,1900.0,7.0,1.0,0.0,0.0,120.0,0.0,0,26400,0.0,0,728,1,0,0.0,4,0,0,6,0,0.0,1,1,2,131000
13,1177,8.0,1607.0,480.0,2.0,960.0,962.0,1999.0,2000.0,2.0,2000.0,7.0,0.0,813.0,456.0,24.0,0.0,169,2645,1.0,1,645,1,0,147.0,3,0,0,12,0,0.0,2,1,2,200000
14,1480,7.0,1361.0,610.0,2.0,1351.0,1361.0,2007.0,2007.0,2.0,2007.0,6.0,0.0,24.0,0.0,74.0,50.0,0,9627,0.0,0,0,1,0,1327.0,3,0,0,6,0,0.0,2,1,2,193000
15,324,5.0,1430.0,624.0,2.0,1430.0,1430.0,2004.0,2005.0,2.0,2004.0,7.0,0.0,0.0,0.0,93.0,0.0,0,10114,0.0,0,0,1,0,1430.0,3,0,0,3,0,0.0,2,1,1,173500
16,1311,5.0,1344.0,513.0,3.0,624.0,624.0,1916.0,1950.0,1.0,1916.0,7.0,0.0,0.0,0.0,34.0,0.0,0,4571,0.0,0,720,1,96,624.0,4,0,0,5,0,0.0,1,1,1,98000
17,770,5.0,1121.0,480.0,2.0,1121.0,1121.0,1963.0,1963.0,1.0,1963.0,5.0,0.0,651.0,0.0,80.0,80.0,0,8816,1.0,0,0,1,0,470.0,3,0,0,6,0,0.0,1,1,1,139000
18,2063,6.0,1285.0,528.0,2.0,660.0,1285.0,1977.0,1977.0,1.0,1977.0,7.0,1.0,0.0,148.0,71.0,0.0,138,8197,0.0,1,0,1,0,660.0,3,0,0,4,0,0.0,1,1,1,143500
19,69,7.0,1547.0,614.0,2.0,756.0,764.0,2009.0,2009.0,2.0,2009.0,7.0,0.0,24.0,0.0,72.0,45.0,169,8640,0.0,1,783,1,0,732.0,3,0,0,6,0,0.0,2,1,1,215200
20,2062,5.0,894.0,450.0,2.0,894.0,894.0,1968.0,1968.0,1.0,1968.0,5.0,1.0,492.0,0.0,109.0,0.0,0,8724,0.0,0,0,1,0,402.0,3,0,0,5,0,0.0,1,1,1,129000
21,351,8.0,1659.0,499.0,2.0,1501.0,1659.0,2000.0,2000.0,2.0,2000.0,5.0,1.0,1158.0,0.0,40.0,59.0,212,5664,1.0,0,0,1,0,343.0,2,0,0,10,0,0.0,4,1,2,278000
22,2393,8.0,2253.0,575.0,2.0,1209.0,1209.0,2005.0,2006.0,2.0,2005.0,8.0,1.0,0.0,99.69590931493346,103.0,142.0,243,12867,0.0,1,1044,1,0,1209.0,3,0,0,7,0,0.0,4,1,2,344133
23,12,6.0,1187.0,420.0,2.0,1168.0,1187.0,1992.0,2007.0,2.0,1992.0,6.0,0.0,935.0,0.0,69.05520046484602,21.0,483,7980,1.0,0,0,1,0,233.0,3,0,0,3,0,0.0,1,2,1,185000
24,2339,5.0,1056.0,572.0,2.0,1056.0,1056.0,1955.0,1955.0,1.0,1955.0,5.0,0.0,1056.0,0.0,100.0,0.0,264,34650,1.0,0,0,1,0,0.0,3,0,0,1,0,0.0,1,1,1,145000
25,624,6.0,1453.0,530.0,2.0,1453.0,1453.0,1961.0,1961.0,2.0,1961.0,6.0,1.0,1312.0,3.0,92.0,49.0,0,10573,1.0,0,0,1,0,141.0,3,288,0,4,0,0.0,1,1,1,187500
26,86,5.0,894.0,336.0,1.0,894.0,894.0,1965.0,2009.0,1.0,1973.0,5.0,1.0,553.0,0.0,65.0,144.0,416,8450,1.0,0,0,1,0,224.0,3,0,0,4,0,117.0,1,2,1,138500
27,1534,5.0,1938.0,240.0,1.0,942.0,1265.0,1937.0,1995.0,2.0,1937.0,7.0,1.0,606.0,0.0,69.05520046484602,40.0,0,11700,0.0,0,673,1,0,336.0,4,0,0,7,0,0.0,2,1,1,198000
28,2243,5.0,1991.0,0.0,0.0,957.0,1034.0,1895.0,2006.0,2.0,1978.7077955601446,9.0,0.0,0.0,0.0,75.0,0.0,0,8250,0.0,0,957,2,133,957.0,4,0,0,6,0,0.0,1,2,1,119600
29,1957,5.0,924.0,576.0,2.0,672.0,672.0,1949.0,2006.0,1.0,2003.0,6.0,1.0,0.0,0.0,60.0,0.0,0,8064,0.0,0,252,1,0,672.0,3,0,0,7,0,0.0,1,2,1,122900
30,380,8.0,2524.0,542.0,2.0,2524.0,2524.0,1981.0,1981.0,2.0,1981.0,9.0,1.0,1104.0,0.0,80.0,120.0,474,9600,1.0,1,0,1,0,1420.0,4,0,0,7,0,0.0,2,1,2,278000
31,2860,8.0,1517.0,400.0,2.0,792.0,792.0,1929.0,1950.0,1.0,1931.0,7.0,2.0,0.0,0.0,69.05520046484602,0.0,0,11435,0.0,0,725,1,0,792.0,3,0,0,6,0,0.0,2,1,1,230000
32,2517,8.0,1494.0,481.0,2.0,1494.0,1494.0,1995.0,1996.0,1.0,1995.0,6.0,1.0,437.0,0.0,30.0,30.0,0,9549,1.0,1,0,1,0,0.0,2,216,0,4,0,1057.0,4,2,2,270000
33,1933,6.0,948.0,410.0,2.0,948.0,948.0,1952.0,1952.0,1.0,1952.0,5.0,0.0,441.0,0.0,60.0,48.0,0,10950,0.0,0,0,1,0,507.0,2,0,0,4,0,0.0,1,1,1,125000
34,820,8.0,1718.0,826.0,3.0,1705.0,1718.0,2007.0,2008.0,2.0,2007.0,7.0,1.0,1288.0,336.0,79.0,44.0,208,10637,1.0,0,0,1,0,417.0,3,0,0,9,0,0.0,2,1,2,297000
35,675,6.0,1142.0,384.0,1.0,160.0,1142.0,1958.0,1958.0,1.0,1958.0,5.0,1.0,0.0,82.0,80.0,28.0,0,9000,0.0,0,0,1,64,160.0,2,0,0,4,0,0.0,1,1,1,113500
36,2910,5.0,1475.0,336.0,1.0,757.0,925.0,1977.0,1977.0,2.0,1977.0,6.0,1.0,548.0,0.0,41.0,26.0,104,2665,0.0,0,550,1,0,36.0,4,0,0,7,0,173.0,1,1,1,127000
37,21,6.0,1844.0,546.0,2.0,1844.0,1844.0,1977.0,1977.0,2.0,1977.0,7.0,1.0,705.0,480.0,105.0,122.0,0,11751,0.0,0,0,1,0,1139.0,3,0,0,1,0,0.0,1,1,1,190000
38,1873,7.0,1242.0,528.0,2.0,1242.0,1242.0,1973.0,1973.0,1.0,1973.0,6.0,1.0,916.0,320.0,80.0,0.0,0,9600,0.0,1,0,1,0,326.0,3,0,0,9,0,0.0,1,1,1,175500
39,2125,5.0,990.0,384.0,1.0,990.0,990.0,1994.0,1994.0,1.0,1995.0,5.0,0.0,420.0,0.0,60.0,0.0,256,8428,1.0,0,0,1,0,570.0,3,0,0,7,0,0.0,1,2,1,146000
40,1489,5.0,1256.0,276.0,1.0,1256.0,1256.0,1965.0,1965.0,1.0,1965.0,6.0,0.0,830.0,0.0,75.0,68.0,736,9937,1.0,1,0,1,0,136.0,3,0,0,6,0,290.0,1,1,2,147500
41,2383,10.0,2076.0,850.0,3.0,2076.0,2076.0,2006.0,2006.0,2.0,2006.0,7.0,1.0,1386.0,99.69590931493346,107.0,229.0,216,13891,1.0,1,0,1,0,690.0,2,0,0,9,0,0.0,4,1,4,465000
42,983,5.0,1110.0,602.0,2.0,1097.0,1110.0,1978.0,1978.0,1.0,1978.0,4.0,1.0,1097.0,104.0,69.05520046484602,30.0,303,9101,1.0,0,0,1,0,0.0,1,0,0,7,0,0.0,2,2,1,165500
43,1325,5.0,1795.0,352.0,1.0,1050.0,1050.0,1954.0,1954.0,2.0,1954.0,7.0,0.0,0.0,335.0,81.0,0.0,0,12150,0.0,0,745,1,0,1050.0,4,0,0,11,0,0.0,1,1,1,131500
44,1378,5.0,1040.0,384.0,1.0,1040.0,1040.0,1965.0,1965.0,1.0,1965.0,5.0,0.0,906.0,0.0,70.0,0.0,0,11200,1.0,0,0,1,0,134.0,3,0,0,2,0,0.0,1,1,1,129500
45,1537,8.0,1873.0,786.0,2.0,608.0,983.0,1935.0,1950.0,1.0,1935.0,9.0,2.0,210.0,40.0,100.0,0.0,0,9670,0.0,1,890,1,207,398.0,4,0,0,6,0,0.0,1,1,1,257076
46,905,5.0,1604.0,660.0,2.0,984.0,984.0,1941.0,1960.0,2.0,1977.0,6.0,0.0,408.0,0.0,60.0,68.0,0,10998,0.0,0,620,1,0,156.0,3,0,0,7,0,420.0,1,1,1,117000
47,1532,7.0,1502.0,270.0,1.0,776.0,851.0,1931.0,2000.0,1.0,1931.0,6.0,1.0,0.0,0.0,60.0,0.0,0,7200,0.0,1,651,1,112,776.0,3,0,0,2,0,0.0,1,3,1,149000
48,132,5.0,1063.0,280.0,1.0,1056.0,1063.0,1954.0,1954.0,1.0,1954.0,6.0,0.0,354.0,110.0,80.0,0.0,0,9920,1.0,0,0,1,164,412.0,3,0,0,2,0,290.0,1,1,1,128000
49,1078,7.0,1626.0,474.0,2.0,764.0,764.0,2003.0,2004.0,2.0,2003.0,6.0,0.0,0.0,106.0,36.0,27.0,0,2448,0.0,1,862,1,0,764.0,2,0,0,10,0,0.0,2,1,2,155000
